,URL,URL-href,TotalRating,TypeLevel1_x,TotalSeat,service_pet_friendly,service_Wi-Fi,service_reservation,service_Parking,service_Good for Groups,service_Delivery,service_Good for Kids,service_alcohol,service_Credit Card,review_wordlist,ReviewScore,TotalReview,PriceRange,Province,2020Reward,RecMenu1,RecMenu2,RecMenu3,rest_service_Cluster,friend,family,couple,rush,save,delivery,hungry,party,business
1245,MAGUROThe circle ราชพฤกษ์,https://www.wongnai.com/restaurants/382261uZ-maguro-the-circle-%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%9E%E0%B8%A4%E0%B8%81%E0%B8%A9%E0%B9%8C,49,อาหารญี่ปุ่น,11 - 40 ที่นั่ง,0,0,0,1,0,1,0,0,1,[],3.9,41.0,฿฿฿,กรุงเทพมหานคร,1.0,,,,0,32.0,32.0,20.0,0.0,0,0,0.0,0,0.0
1246,Witthaya Home Brewing,https://www.wongnai.com/restaurants/333168cL-witthaya-home-brewing,43,ร้านกาแฟ/ชา,None,0,0,0,1,0,0,0,0,0,[],4.4,32.0,฿,ภูเก็ต,1.0,Hot Latte,Drip Coffee,Hot Matcha Latte,0,22.0,0.0,19.0,0.0,13,0,0.0,0,0.0
1247,Akha Ama la fattoriaพระสิงห์,https://www.wongnai.com/restaurants/137995pa-akha-ama-la-fattoria-%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%AA%E0%B8%B4%E0%B8%87%E0%B8%AB%E0%B9%8C,131,ร้านกาแฟ/ชา,11 - 40 ที่นั่ง,0,1,0,1,1,0,0,0,0,"['ร้านกาแฟ', 'บรรยากาศ', 'เมล็ดกาแฟ']",4.0,109.0,฿,เชียงใหม่,1.0,Manee Mana มานี มานะ,,,0,55.0,0.0,36.0,0.0,0,0,0.0,0,22.0
1248,Khun Jeed,https://www.wongnai.com/restaurants/111912eC-%E0%B8%84%E0%B8%B8%E0%B8%93%E0%B8%88%E0%B8%B5%E0%B9%8A%E0%B8%94%E0%B8%A2%E0%B8%AD%E0%B8%94%E0%B8%9C%E0%B8%B1%E0%B8%81,130,อาหารตามสั่ง,11 - 40 ที่นั่ง,0,1,1,1,1,1,1,0,0,"['ราดหน้า', 'ขนมถ้วย', 'หมูสะเต๊ะ']",4.1,114.0,฿,ภูเก็ต,1.0,,,,2,48.0,38.0,0.0,30.0,0,0,0.0,0,0.0
1249,คุณแจงก๋วยเตี๋ยวปากหม้อเข้าวัง,https://www.wongnai.com/restaurants/171585Dt-%E0%B8%84%E0%B8%B8%E0%B8%93%E0%B9%81%E0%B8%88%E0%B8%87%E0%B8%81%E0%B9%8B%E0%B8%A7%E0%B8%A2%E0%B9%80%E0%B8%95%E0%B8%B5%E0%B9%8B%E0%B8%A2%E0%B8%A7%E0%B8%9B%E0%B8%B2%E0%B8%81%E0%B8%AB%E0%B8%A1%E0%B9%89%E0%B8%AD%E0%B9%80%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%B1%E0%B8%87,143,ก๋วยเตี๋ยว,41 - 80 ที่นั่ง,0,0,1,1,1,0,1,0,0,"['ปากหม้อ', 'ก๋วยเตี๋ยวปากหม้อ']",4.1,112.0,฿,ขอนแก่น,1.0,ก๋วยเตี๋ยวปากหม้อต้มยำไข่,ปากหม้อสาคู,ปากหม้อ,2,38.0,29.0,0.0,0.0,28,0,0.0,0,0.0
1250,Standtall Coffee,https://www.wongnai.com/restaurants/standtall,161,ร้านกาแฟ/ชา,11 - 40 ที่นั่ง,0,1,0,1,1,1,1,0,0,"['ร้านกาแฟ', 'บางแสน', 'เมล็ดกาแฟ', 'บาริสต้า']",4.1,132.0,฿,ชลบุรี,1.0,ลาเต้ร้อน,Caramel Macchiato,Mixed Berry Tea,2,56.0,0.0,42.0,0.0,0,0,0.0,0,29.0
1251,แดงอาหารทะเล (ร้านต้นตำรับ40ปี),https://www.wongnai.com/restaurants/daengseafoodrestaurant,170,อาหารทะเล,ไม่เกิน 10 ที่นั่ง,0,0,1,0,0,1,0,0,0,"['อาหารทะเล', 'หอยหลอด']",4.0,122.0,฿,สมุทรสงคราม,1.0,ก๋วยเตี๋ยวต้มยำ,เกี๋ยวกุ้งลวก,ผัดไทย(ธรรมดา),0,48.0,58.0,18.0,0.0,0,0,0.0,0,0.0
1252,มนต์นมสดเชียงใหม่ ถ.นิมมานเหมินทร์,https://www.wongnai.com/restaurants/11275FR-%E0%B8%A1%E0%B8%99%E0%B8%95%E0%B9%8C%E0%B8%99%E0%B8%A1%E0%B8%AA%E0%B8%94-%E0%B9%80%E0%B8%8A%E0%B8%B5%E0%B8%A2%E0%B8%87%E0%B9%83%E0%B8%AB%E0%B8%A1%E0%B9%88-%E0%B8%99%E0%B8%B4%E0%B8%A1%E0%B8%A1%E0%B8%B2%E0%B8%99%E0%B9%80%E0%B8%AB%E0%B8%A1%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B9%8C,312,ของหวาน,11 - 40 ที่นั่ง,0,0,0,1,1,0,1,0,0,"['ขนมปัง', 'ขนมปังปิ้ง', 'สังขยา', 'เยอะมาก', 'ที่จอดรถ', 'เครื่องดื่ม', 'เข้มข้น', 'พนักงาน', 'บริการ', 'นมร้อน']",4.1,262.0,฿,เชียงใหม่,1.0,ขนมปังสังขยา,นมสด (ขวด L),เนยนม,2,69.0,54.0,38.0,0.0,0,0,0.0,0,0.0
1253,PARADAi Crafted Chocolate & Cafeถ.ตะนาว,https://www.wongnai.com/restaurants/348688Ef-paradai-crafted-chocolate-cafe-%E0%B8%96-%E0%B8%95%E0%B8%B0%E0%B8%99%E0%B8%B2%E0%B8%A7,115,คาเฟ่,11 - 40 ที่นั่ง,0,1,0,0,1,1,1,0,0,[],4.2,90.0,฿฿,กรุงเทพมหานคร,1.0,Signature Iced Chocolate,Signature hot Chocolate,Bon Bon - Salted Caramel,2,41.0,24.0,34.0,0.0,0,0,0.0,0,0.0
1255,ครัวลุงเต้นจันทบุรี,https://www.wongnai.com/restaurants/lungten,210,อาหารทะเล,มากกว่า 150 ที่นั่ง,1,1,1,1,1,0,1,1,0,['เยอะมาก'],4.0,160.0,฿฿,จันทบุรี,1.0,,,,1,43.0,48.0,0.0,0.0,19,0,0.0,0,0.0
1256,DeForrest café & bakery,https://www.wongnai.com/restaurants/deforest,195,คาเฟ่,41 - 80 ที่นั่ง,1,1,1,1,1,1,1,1,0,"['บรรยากาศ', 'บรรยากาศดี', 'พนักงาน', 'เครื่องดื่ม']",4.0,136.0,฿฿,นครราชสีมา,1.0,ข้าวไข่ข้น,honey toast,ชาเขียวเย็น,1,59.0,47.0,50.0,0.0,0,0,0.0,0,0.0
1258,วาสนาฟิชชิ่งปาร์คระยอง,https://www.wongnai.com/restaurants/12378zj-%E0%B8%A7%E0%B8%B2%E0%B8%AA%E0%B8%99%E0%B8%B2%E0%B8%9F%E0%B8%B4%E0%B8%8A%E0%B8%8A%E0%B8%B4%E0%B9%88%E0%B8%87%E0%B8%9B%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%84-%E0%B8%A3%E0%B8%B0%E0%B8%A2%E0%B8%AD%E0%B8%87,108,อาหารทะเล,มากกว่า 150 ที่นั่ง,1,1,0,1,0,0,0,1,0,[],4.1,86.0,฿฿฿,ระยอง,1.0,,,,0,48.0,53.0,15.0,0.0,0,0,0.0,0,0.0
1259,LukaSIRI HOUSE at Somkid,https://www.wongnai.com/restaurants/390821cK-luka-siri-house-at-somkid,20,ร้านกาแฟ/ชา,None,0,1,1,1,0,1,0,1,1,[],4.0,17.0,฿฿฿฿,กรุงเทพมหานคร,1.0,Acai Bowl,Flat White,Carrot Cake,1,41.0,0.0,53.0,0.0,0,0,0.0,0,29.0
1260,UmiGaysorn Village,https://www.wongnai.com/restaurants/310097RE-umi-gaysorn-village,16,ซูชิ,None,0,0,1,1,1,0,0,0,1,[],3.9,10.0,฿฿฿฿฿,กรุงเทพมหานคร,1.0,omakase,,,1,20.0,0.0,40.0,0.0,0,0,0.0,0,20.0
1261,Mother Trucker Burger,https://www.wongnai.com/restaurants/mothertruckerburger,212,เบอร์เกอร์,None,0,0,0,1,0,1,0,0,0,"['เบอร์เกอร์', 'หอมทอด', 'ขนมปัง', 'เบอร์เกอร์หมู', 'เบอเกอร์', 'เบอร์เกอร์เนื้อ', 'ชิ้นใหญ่', 'เนื้อหมู', 'burger', 'เบค่อน']",3.8,182.0,฿฿,กรุงเทพมหานคร,0.0,เบอร์เกอร์เนื้อ,Single Pork ! Burger,Single Pork🐷🍔 (*Resize),0,59.0,0.0,0.0,22.0,0,0,35.0,0,0.0
1262,Nan Bei,https://www.wongnai.com/restaurants/397158kU-nan-bei,43,อาหารจีน,None,0,1,1,1,1,0,0,0,1,[],4.1,31.0,฿฿฿฿฿,กรุงเทพมหานคร,0.0,เป็ดปักกิ่ง,เสี่ยวหลงเปา,หมูแดง,1,26.0,29.0,26.0,0.0,0,0,0.0,0,0.0
1263,Sushi Nioประชาชื่น,https://www.wongnai.com/restaurants/220367bv-sushi-nio-%E0%B9%81%E0%B8%88%E0%B9%89%E0%B8%87%E0%B8%A7%E0%B8%B1%E0%B8%92%E0%B8%99%E0%B8%B0,135,ซูชิ,81 - 150  ที่นั่ง,0,1,1,1,1,1,1,1,1,"['พนักงาน', 'อาหารญี่ปุ่น', 'ญี่ปุ่น', 'ที่จอดรถ', 'โปรโมชั่น', 'แซลมอน', 'lobster', 'อร่อยดี', 'พรีเมี่ยม', 'บริการ', 'salmon']",4.2,112.0,฿฿฿฿,กรุงเทพมหานคร,0.0,Sashimi,Engawa Roll,แซลม่อนยำไทย,1,57.0,57.0,46.0,0.0,0,0,0.0,0,0.0
1264,บ้านยี่สาร,https://www.wongnai.com/restaurants/19304kJ-%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%A2%E0%B8%B5%E0%B9%88%E0%B8%AA%E0%B8%B2%E0%B8%A3,154,อาหารไทย,41 - 80 ที่นั่ง,0,0,0,1,0,0,0,1,0,"['บรรยากาศ', 'พนักงาน', 'อาหารไทย']",3.8,117.0,฿฿฿,กรุงเทพมหานคร,0.0,ปลาหมอทอด,ฉู่ฉี่กุ้ง,ปูม้าถอดเสื้อ,0,50.0,61.0,29.0,0.0,0,0,0.0,0,0.0
1265,Mickey's Diner BKK,https://www.wongnai.com/restaurants/157188Ov-mickey-s-diner-bkk,75,อาหารอเมริกัน,41 - 80 ที่นั่ง,0,1,0,1,0,1,0,1,1,[],3.8,57.0,฿฿฿฿,กรุงเทพมหานคร,0.0,MERGUEZ AND SCRAMBLE,waffle,mushroom soup,0,67.0,0.0,28.0,0.0,0,0,0.0,56,0.0
1266,เซี้ย เกาเหลาเนื้อวัวไร้เทียมทาน,https://www.wongnai.com/restaurants/258233fO-%E0%B9%80%E0%B8%8B%E0%B8%B5%E0%B9%89%E0%B8%A2-%E0%B9%80%E0%B8%81%E0%B8%B2%E0%B9%80%E0%B8%AB%E0%B8%A5%E0%B8%B2%E0%B9%80%E0%B8%99%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B8%A7%E0%B8%B1%E0%B8%A7%E0%B9%84%E0%B8%A3%E0%B9%89%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B8%A2%E0%B8%A1%E0%B8%97%E0%B8%B2%E0%B8%99,46,อาหารตามสั่ง,ไม่เกิน 10 ที่นั่ง,0,0,0,0,0,0,0,0,0,[],4.0,28.0,฿,กรุงเทพมหานคร,0.0,เกาเหลาเนื้อ,เกาเหลาเนื้อทุกอย่าง,เกาเหลาเนื้อเปื่อย (เนื้อ 3ชั้น),0,29.0,0.0,0.0,39.0,0,0,32.0,0,0.0
1267,Le Dalatสุขุมวิท 23 (ประสานมิตร),https://www.wongnai.com/restaurants/369MJ-le-dalat-sukhumvit-23,42,อาหารเวียดนาม,41 - 80 ที่นั่ง,0,1,1,1,1,1,1,1,1,[],4.0,29.0,฿฿฿฿,กรุงเทพมหานคร,0.0," เฝอเนื้อ""วากิว""-Pho""Wagyu""",เฝอไก่,*กุ้งพันอ้อย,1,52.0,55.0,41.0,0.0,0,0,0.0,0,0.0
1268,Jaguemsong จากึมซอง (Jaguemsong)Siam Square,https://www.wongnai.com/restaurants/718976tw-jaguemsong-%E0%B8%88%E0%B8%B2%E0%B8%81%E0%B8%B6%E0%B8%A1%E0%B8%8B%E0%B8%AD%E0%B8%87-jaguemsong-siam-square,6,อาหารเกาหลี,None,0,0,0,1,0,1,0,0,1,[],4.4,7.0,฿฿,กรุงเทพมหานคร,0.0,,,,0,50.0,50.0,0.0,0.0,0,33,0.0,0,0.0
1269,ครัวคุณอิ้น เลียบทางด่วนเอกมัย รามอินทราซอยประดิษฐมนูธรรม 23,https://www.wongnai.com/restaurants/174574Ih-%E0%B8%84%E0%B8%A3%E0%B8%B1%E0%B8%A7%E0%B8%84%E0%B8%B8%E0%B8%93%E0%B8%AD%E0%B8%B4%E0%B9%89%E0%B8%99-%E0%B9%80%E0%B8%A5%E0%B8%B5%E0%B8%A2%E0%B8%9A%E0%B8%97%E0%B8%B2%E0%B8%87%E0%B8%94%E0%B9%88%E0%B8%A7%E0%B8%99%E0%B9%80%E0%B8%AD%E0%B8%81%E0%B8%A1%E0%B8%B1%E0%B8%A2-%E0%B8%A3%E0%B8%B2%E0%B8%A1%E0%B8%AD%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B8%B2-%E0%B8%8B%E0%B8%AD%E0%B8%A2%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%94%E0%B8%B4%E0%B8%A9%E0%B8%90%E0%B8%A1%E0%B8%99%E0%B8%B9%E0%B8%98%E0%B8%A3%E0%B8%A3%E0%B8%A1-23,85,อาหารใต้,None,0,0,0,1,0,1,0,0,1,[],4.1,53.0,฿฿,กรุงเทพมหานคร,0.0,ใบเหรียงผัดไข่,แกงไตปลาปลย่าง,ปลาทรายทอดขมิ้น,0,49.0,49.0,19.0,0.0,0,0,0.0,0,0.0
1270,Tasty Congee & Noodle Wantun Shop,https://www.wongnai.com/restaurants/706759sT-tasty-congee-noodle-wantun-shop,23,ก๋วยเตี๋ยว,None,0,0,0,1,0,0,0,0,1,[],3.9,21.0,฿฿฿,กรุงเทพมหานคร,0.0,บะหมี่เเห้งเกี้ยวกุ้ง,บะหมี่เกี๊ยวกุ้ง,ขนมผักกาด,0,24.0,43.0,0.0,0.0,0,0,0.0,10,0.0
1271,ปาท่องโก๋คาเฟ่บางลำพู,https://www.wongnai.com/restaurants/5117oK-%E0%B8%9B%E0%B8%B2%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%82%E0%B8%81%E0%B9%8B%E0%B8%84%E0%B8%B2%E0%B9%80%E0%B8%9F%E0%B9%88-%E0%B8%9A%E0%B8%B2%E0%B8%87%E0%B8%A5%E0%B8%B3%E0%B8%9E%E0%B8%B9,242,อาหารจานเดียว,11 - 40 ที่นั่ง,0,0,0,1,0,1,0,0,0,"['ปาท่องโก๋', 'ปาท่องโก๋ย่าง', 'สังขยา', 'ของคาว', 'ร้านปาท่องโก๋', 'พนักงาน', 'ราดสังขยา', 'ไอศกรีม', 'ข้าวหน้าไก่', 'ไม่หวาน', 'เหนียว']",3.7,207.0,฿,กรุงเทพมหานคร,0.0,ปาท่องโก๋สังขยา,ปาท่องโก๋ย่าง ช็อคโกแลค,ปาท่องโก๋ย่าง สังขยาใบเตย,0,48.0,36.0,0.0,26.0,0,0,0.0,0,0.0
1272,The Black Forest,https://www.wongnai.com/restaurants/234400RX-the-black-forest,45,คาเฟ่,None,0,1,0,1,0,0,0,0,1,[],4.2,32.0,฿฿,สมุทรปราการ,0.0,,,,0,38.0,0.0,38.0,0.0,0,0,0.0,0,25.0
1273,กับข้าว’กับปลาดิ เอ็มควอเทียร์,https://www.wongnai.com/restaurants/191641wk-%E0%B8%81%E0%B8%B1%E0%B8%9A%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7-%E0%B8%81%E0%B8%B1%E0%B8%9A%E0%B8%9B%E0%B8%A5%E0%B8%B2-the-emquartier,135,อาหารไทย,11 - 40 ที่นั่ง,0,0,1,1,1,1,1,0,1,"['กับข้าว', 'พนักงาน', 'อาหารไทย', 'เข้มข้น']",4.0,111.0,฿฿,กรุงเทพมหานคร,0.0,,,,1,67.0,61.0,55.0,0.0,0,0,0.0,0,0.0
1274,Kabocha Sushiโฮมโปร ราชพฤกษ์,https://www.wongnai.com/restaurants/394796oU-kabocha-sushi-%E0%B9%82%E0%B8%AE%E0%B8%A1%E0%B9%82%E0%B8%9B%E0%B8%A3-%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%9E%E0%B8%A4%E0%B8%81%E0%B8%A9%E0%B9%8C,266,อาหารญี่ปุ่น,11 - 40 ที่นั่ง,0,0,0,1,0,1,0,1,1,[],4.2,182.0,฿฿฿,นนทบุรี,0.0,,,,0,8.0,7.0,7.0,0.0,0,0,0.0,0,0.0
1275,หมูทอดเมตตา,https://www.wongnai.com/restaurants/17629Vd-%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B8%97%E0%B8%AD%E0%B8%94%E0%B9%80%E0%B8%A1%E0%B8%95%E0%B8%95%E0%B8%B2,72,อาหารจานเดียว,ไม่มีที่นั่ง/จัดส่งเท่านั้น,0,0,0,0,0,1,0,0,0,[],4.0,47.0,฿฿,กรุงเทพมหานคร,0.0,ข้าวเหนียว 3 สี (เล็ก),ข้าวเหนียวหมูทอด,หมูทอด 1 ขีด,0,0.0,0.0,0.0,30.0,21,0,21.0,0,0.0
1276,หวานกรอบ Farm&Cafeพุทธมณฑลสาย2,https://www.wongnai.com/restaurants/151998is-%E0%B8%AB%E0%B8%A7%E0%B8%B2%E0%B8%99%E0%B8%81%E0%B8%A3%E0%B8%AD%E0%B8%9A-farm-cafe-%E0%B8%9E%E0%B8%B8%E0%B8%97%E0%B8%98%E0%B8%A1%E0%B8%93%E0%B8%91%E0%B8%A5%E0%B8%AA%E0%B8%B2%E0%B8%A2-2,100,อาหารคลีน/สลัด,41 - 80 ที่นั่ง,1,1,0,1,1,1,1,0,0,[],3.9,73.0,฿฿฿,กรุงเทพมหานคร,0.0,สลัดโซบะไก่คาราเกะ,มันม่วงฟรายส์,เมี่ยงปลาทู,2,38.0,47.0,26.0,0.0,0,0,0.0,0,0.0
1277,ร้านอุบลแจ่วฮ้อน ราชาเหงือกทอด,https://www.wongnai.com/restaurants/76228al-%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%AD%E0%B8%B8%E0%B8%9A%E0%B8%A5%E0%B9%81%E0%B8%88%E0%B9%88%E0%B8%A7%E0%B8%AE%E0%B9%89%E0%B8%AD%E0%B8%99-%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%B2%E0%B9%80%E0%B8%AB%E0%B8%87%E0%B8%B7%E0%B8%AD%E0%B8%81%E0%B8%97%E0%B8%AD%E0%B8%94,36,อาหารอีสาน/ร้านส้มตำ,41 - 80 ที่นั่ง,0,0,1,1,1,1,0,1,0,[],3.9,21.0,฿฿,กรุงเทพมหานคร,0.0,เนื้อย่างติดมัน,ส้มตำไทย,แจ่วฮ้อนเนื้อ,1,43.0,14.0,0.0,0.0,0,0,24.0,0,0.0
1278,Memorize Brownieโครงการ The Aqua อารีย์-สะพานควาย,https://www.wongnai.com/restaurants/595313pl-memorize-brownie-%E0%B9%82%E0%B8%84%E0%B8%A3%E0%B8%87%E0%B8%81%E0%B8%B2%E0%B8%A3-the-aqua-%E0%B8%AD%E0%B8%B2%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B9%8C-%E0%B8%AA%E0%B8%B0%E0%B8%9E%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A7%E0%B8%B2%E0%B8%A2,17,เบเกอรี/เค้ก,41 - 80 ที่นั่ง,0,1,0,1,1,1,1,0,1,[],4.4,13.0,฿฿,กรุงเทพมหานคร,0.0,BrownieShot,Matcha GreenTea,Original Brownie,2,62.0,38.0,54.0,0.0,0,0,0.0,0,0.0
1279,Sushi Masaราชเทวี,https://www.wongnai.com/restaurants/sushimasa,659,ซูชิ,11 - 40 ที่นั่ง,0,0,0,1,0,1,0,0,1,"['พนักงาน', 'แซลมอน', 'ชิ้นใหญ่', 'เนื้อปลา', 'ที่จอดรถ', 'บริการ', 'อาหารญี่ปุ่น', 'เยอะมาก', 'salmon roll', 'ไข่หวาน', 'ปลาไหล', 'ปลาดิบ', 'อร่อยดี', 'อร่อยมาก', 'เต็มคำ', 'ในร้าน', 'วัตถุดิบ', 'ญี่ปุ่น']",4.0,502.0,฿฿฿฿,กรุงเทพมหานคร,0.0,Salmon Roll,Salmon Sashimi,ยำปลาแซลม่อน,0,66.0,38.0,45.0,0.0,0,0,0.0,0,0.0
1280,Make Me Mangoท่าเตียน,https://www.wongnai.com/restaurants/makememango,96,ของหวาน,11 - 40 ที่นั่ง,0,1,0,0,1,1,1,0,1,"['มะม่วง', 'ถ่ายรูป', 'น่ารัก', 'สังขยา']",4.1,82.0,฿฿,กรุงเทพมหานคร,0.0,Mango smoothie (pure),mango smoothie with sago,Mango Smoothie with Yogurt,2,63.0,43.0,59.0,0.0,0,0,0.0,0,0.0
1281,35 Dry Aged Beef,https://www.wongnai.com/restaurants/424684vQ-35-dry-aged-beef,51,สเต๊ก,ไม่เกิน 10 ที่นั่ง,0,1,1,0,1,1,0,0,0,[],4.5,34.0,฿฿฿฿฿,กรุงเทพมหานคร,0.0,สตูเนื้อ,Tenderloin,ข้าวหน้าเนื้อ ไข่ดองโชยุ,2,47.0,0.0,24.0,0.0,0,21,0.0,0,0.0
1282,บ้านชิดกรุง กุ้งเผา,https://www.wongnai.com/restaurants/25999eD-%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%8A%E0%B8%B4%E0%B8%94%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87-%E0%B8%81%E0%B8%B8%E0%B9%89%E0%B8%87%E0%B9%80%E0%B8%9C%E0%B8%B2,190,อาหารไทย,81 - 150  ที่นั่ง,1,0,0,1,1,0,1,1,0,"['กุ้งเผา', 'บรรยากาศ', 'น้ำจิ้ม', 'บรรยากาศดี', 'พนักงาน']",3.8,152.0,฿฿฿,กรุงเทพมหานคร,0.0,กุ้งเผา,ข้าวผัดชิดกรุง,ปลาทูต้มมะดัน,2,52.0,67.0,35.0,0.0,0,0,0.0,0,0.0
1283,อาเหลียง ก๋วยเตี๋ยวเนื้อตุ๋นนนทบุรี,https://www.wongnai.com/restaurants/rliangbeefnoodle,113,ก๋วยเตี๋ยว,41 - 80 ที่นั่ง,0,0,0,1,0,1,0,0,0,[],4.3,82.0,฿,กรุงเทพมหานคร,0.0,เกาเหลา ชิ้น เปื่อย,เกาเหลา ชิ้น สด เปื่อย,เกาเหลาทุกอย่าง พิเศษ,0,26.0,0.0,0.0,27.0,0,0,24.0,0,0.0
1284,Guru Gyuuสะพานควาย,https://www.wongnai.com/restaurants/190757CD-guru-gyuu-%E0%B8%AA%E0%B8%B0%E0%B8%9E%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A7%E0%B8%B2%E0%B8%A2,114,ปิ้งย่าง,11 - 40 ที่นั่ง,0,0,0,1,0,0,0,1,1,"['พนักงาน', 'ซุปเปอร์', 'น้ำจิ้ม', 'เครื่องดื่ม']",4.2,83.0,฿฿฿,กรุงเทพมหานคร,0.0,เนื้อทั้งหมด,หมูหินอ่อน/หมูติดมัน/หมูทั้งหมด,กุ้งแม่น้ำ,0,63.0,28.0,0.0,0.0,0,0,36.0,0,0.0
1285,อ้วนนะ หมูกรอบชาชู@รามอินทรา 34,https://www.wongnai.com/restaurants/309826iz-%E0%B8%AD%E0%B9%89%E0%B8%A7%E0%B8%99%E0%B8%99%E0%B8%B0-%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B8%81%E0%B8%A3%E0%B8%AD%E0%B8%9A%E0%B8%8A%E0%B8%B2%E0%B8%8A%E0%B8%B9-%E0%B8%A3%E0%B8%B2%E0%B8%A1%E0%B8%AD%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B8%B2-34,56,อาหารจานเดียว,11 - 40 ที่นั่ง,0,0,1,1,1,1,1,0,1,[],3.7,35.0,฿฿,กรุงเทพมหานคร,0.0,หมูกรอบชาชู 500กรัม,หมูกรอบชาชู (กลาง) 300กรัม,หมูกรอบชาชู (เล็ก) 200กรัม,1,17.0,14.0,0.0,0.0,0,20,0.0,0,0.0
1286,Katana Shabu & Japanese DiningSukhumvit23,https://www.wongnai.com/restaurants/259842dC-katana-shabu-japanese-dining-sukhumvit23,15,ชาบู/สุกี้ยากี้/หม้อไฟ,11 - 40 ที่นั่ง,0,1,1,1,1,1,1,1,1,[],4.7,12.0,฿฿฿฿฿,กรุงเทพมหานคร,0.0,Premium Wagyu Shabu -set contains only Meat & Vegetable-,ปลาทอด,,1,42.0,33.0,42.0,0.0,0,0,0.0,0,0.0
1287,Gimme Gimme Cafe And Galleryเพชรเกษม,https://www.wongnai.com/restaurants/444677WF-gimme-gimme-cafe-and-gallery-%E0%B9%80%E0%B8%9E%E0%B8%8A%E0%B8%A3%E0%B9%80%E0%B8%81%E0%B8%A9%E0%B8%A1,51,คาเฟ่,11 - 40 ที่นั่ง,0,1,1,1,1,1,1,0,0,[],4.3,27.0,฿฿,กรุงเทพมหานคร,0.0,Crab Fried Rice,Gimme Dirty,Spaghetti Carbonara,2,48.0,19.0,44.0,0.0,0,0,0.0,0,0.0
1293,Bodegas Wine,https://www.wongnai.com/restaurants/bodegaswine,27,อาหารฟิวชั่น,11 - 40 ที่นั่ง,0,1,1,1,1,1,0,1,1,[],4.6,16.0,฿฿฿฿,กรุงเทพมหานคร,0.0,Jamon 48 Month,Seafood Paella M,Lobster soup,1,39.0,33.0,33.0,0.0,0,0,0.0,0,0.0
1294,Kukkad Nukkad The Indian Food,https://www.wongnai.com/restaurants/423786NY-kukkad-nukkad-the-indian-food,23,อาหารอินเดีย,ไม่เกิน 10 ที่นั่ง,0,1,1,1,1,1,1,1,0,[],4.2,14.0,฿฿฿,กรุงเทพมหานคร,0.0,ข้าวหมกไก่,Garlic Naan,Mutton Masala,1,43.0,43.0,14.0,0.0,0,0,0.0,0,0.0
1295,ยัมยัม พาสต้า แอนด์ ทาปาส,https://www.wongnai.com/restaurants/453494em-%E0%B8%A2%E0%B8%B1%E0%B8%A1%E0%B8%A2%E0%B8%B1%E0%B8%A1-%E0%B8%9E%E0%B8%B2%E0%B8%AA%E0%B8%95%E0%B9%89%E0%B8%B2-%E0%B9%81%E0%B8%AD%E0%B8%99%E0%B8%94%E0%B9%8C-%E0%B8%97%E0%B8%B2%E0%B8%9B%E0%B8%B2%E0%B8%AA,65,อาหารอิตาเลียน,None,0,0,0,1,1,1,0,1,1,[],4.0,40.0,฿฿฿,กรุงเทพมหานคร,0.0,Panna Cotta with Berry Sauce,Pasta Pesto with Prawn,Gambas al Ajillo,1,53.0,33.0,40.0,0.0,0,0,0.0,0,0.0
