,URL,URL-href,TotalRating,TypeLevel1_x,TotalSeat,service_pet_friendly,service_Wi-Fi,service_reservation,service_Parking,service_Good for Groups,service_Delivery,service_Good for Kids,service_alcohol,service_Credit Card,review_wordlist,ReviewScore,TotalReview,PriceRange,Province,2020Reward,RecMenu1,RecMenu2,RecMenu3,rest_service_Cluster,friend,family,couple,rush,save,delivery,hungry,party,business
5689,ข้าวสามสี,https://www.wongnai.com/restaurants/14223Fj-%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%AA%E0%B8%B2%E0%B8%A1%E0%B8%AA%E0%B8%B5,80,สเต๊ก,None,0,1,0,1,1,0,1,0,0,[],3.7,65.0,฿฿,นครราชสีมา,0.0,,,,2,57.0,66.0,25.0,0.0,0,0,0.0,0,0.0
5690,ชาบู ชาบู นางในนครราชสีมา,https://www.wongnai.com/restaurants/339847Bd-%E0%B8%8A%E0%B8%B2%E0%B8%9A%E0%B8%B9-%E0%B8%8A%E0%B8%B2%E0%B8%9A%E0%B8%B9-%E0%B8%99%E0%B8%B2%E0%B8%87%E0%B9%83%E0%B8%99-%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%AA%E0%B8%B5%E0%B8%A1%E0%B8%B2,5,ชาบู/สุกี้ยากี้/หม้อไฟ,41 - 80 ที่นั่ง,0,0,0,1,0,0,0,0,0,[],4.3,3.0,฿฿฿,นครราชสีมา,0.0,,,,0,67.0,67.0,0.0,0.0,0,0,33.0,0,0.0
5691,KFCKlang Plaza 3th FL,https://www.wongnai.com/restaurants/181639Dk-kfc-%E0%B8%84%E0%B8%A5%E0%B8%B1%E0%B8%87%E0%B8%9E%E0%B8%A5%E0%B8%B2%E0%B8%8B%E0%B9%88%E0%B8%B2-%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%99-3,12,ฟาสต์ฟู้ด/จานด่วน,None,0,0,0,1,0,1,0,0,0,[],3.6,12.0,฿,นครราชสีมา,0.0,,,,0,50.0,33.0,0.0,25.0,0,0,0.0,0,0.0
5692,ก๋วยเตี๋ยวเป็ดหลังวัดโพธิ์,https://www.wongnai.com/restaurants/136067iC-%E0%B8%81%E0%B9%8B%E0%B8%A7%E0%B8%A2%E0%B9%80%E0%B8%95%E0%B8%B5%E0%B9%8B%E0%B8%A2%E0%B8%A7%E0%B9%80%E0%B8%9B%E0%B9%87%E0%B8%94%E0%B8%AB%E0%B8%A5%E0%B8%B1%E0%B8%87%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B9%82%E0%B8%9E%E0%B8%98%E0%B8%B4%E0%B9%8C,14,ก๋วยเตี๋ยว,None,0,0,0,0,0,1,0,0,0,[],3.5,10.0,฿,นครราชสีมา,0.0,,,,0,40.0,0.0,0.0,30.0,0,0,40.0,0,0.0
5693,ปึงหงี่เชียง (สามแยกปัก)	สำนักงานใหญ่,https://www.wongnai.com/restaurants/661620gW-%E0%B8%9B%E0%B8%B6%E0%B8%87%E0%B8%AB%E0%B8%87%E0%B8%B5%E0%B9%88%E0%B9%80%E0%B8%8A%E0%B8%B5%E0%B8%A2%E0%B8%87-%E0%B8%AA%E0%B8%B2%E0%B8%A1%E0%B9%81%E0%B8%A2%E0%B8%81%E0%B8%9B%E0%B8%B1%E0%B8%81-%E0%B8%AA%E0%B8%B3%E0%B8%99%E0%B8%B1%E0%B8%81%E0%B8%87%E0%B8%B2%E0%B8%99%E0%B9%83%E0%B8%AB%E0%B8%8D%E0%B9%88,12,ติ่มซำ,None,0,0,0,1,0,1,0,0,1,[],3.8,12.0,฿,นครราชสีมา,0.0,,,,0,50.0,58.0,0.0,17.0,0,0,0.0,0,0.0
5694,ราดหน้ามหาชน - ของอร่อยเมืองโคราชคลองส่งน้ำ,https://www.wongnai.com/restaurants/230755CC-%E0%B8%A3%E0%B8%B2%E0%B8%94%E0%B8%AB%E0%B8%99%E0%B9%89%E0%B8%B2%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%8A%E0%B8%99-%E0%B8%82%E0%B8%AD%E0%B8%87%E0%B8%AD%E0%B8%A3%E0%B9%88%E0%B8%AD%E0%B8%A2%E0%B9%80%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%87%E0%B9%82%E0%B8%84%E0%B8%A3%E0%B8%B2%E0%B8%8A-%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B9%88%E0%B8%87%E0%B8%99%E0%B9%89%E0%B8%B3,9,อาหารจานเดียว,11 - 40 ที่นั่ง,0,1,1,1,1,1,1,0,1,[],4.1,8.0,฿,นครราชสีมา,0.0,ผัดซีอิ๊วขี้เมา,,,1,0.0,0.0,0.0,50.0,38,0,75.0,0,0.0
5695,สว่างจิตร (เฮียงเจ้าเก่า),https://www.wongnai.com/restaurants/88893sF-%E0%B8%AA%E0%B8%A7%E0%B9%88%E0%B8%B2%E0%B8%87%E0%B8%88%E0%B8%B4%E0%B8%95%E0%B8%A3-%E0%B9%80%E0%B8%AE%E0%B8%B5%E0%B8%A2%E0%B8%87%E0%B9%80%E0%B8%88%E0%B9%89%E0%B8%B2%E0%B9%80%E0%B8%81%E0%B9%88%E0%B8%B2,21,อาหารตามสั่ง,11 - 40 ที่นั่ง,0,0,0,1,0,1,0,0,0,[],3.3,19.0,฿,นครราชสีมา,0.0,ผัดไท,ผัดกะเพรา,ไก่ทอดกระเทียม,0,0.0,0.0,0.0,68.0,42,0,53.0,0,0.0
5696,De Wangวังน้ำเขียว,https://www.wongnai.com/restaurants/88692Tk-de-wang-%E0%B8%A7%E0%B8%B1%E0%B8%87%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B9%80%E0%B8%82%E0%B8%B5%E0%B8%A2%E0%B8%A7,15,ร้านกาแฟ/ชา,11 - 40 ที่นั่ง,0,1,1,1,1,1,1,1,0,[],4.7,9.0,฿,นครราชสีมา,0.0,,,,1,33.0,22.0,22.0,0.0,0,0,0.0,0,0.0
5697,Yellow Stone cafe’ & Bar Korat,https://www.wongnai.com/restaurants/343291bt-yellow-stone-cafe-bar-korat,7,คาเฟ่,None,0,0,0,1,0,1,0,0,0,[],4.0,7.0,฿฿,นครราชสีมา,0.0,มอลค่าปั่น,ลาเต้เย็น,,0,43.0,29.0,29.0,0.0,0,0,0.0,0,0.0
5698,The Pizza Companyเดอะมอลล์ โคราช,https://www.wongnai.com/restaurants/29926yA-the-pizza-company-%E0%B9%80%E0%B8%94%E0%B8%AD%E0%B8%B0%E0%B8%A1%E0%B8%AD%E0%B8%A5%E0%B8%A5%E0%B9%8C-%E0%B9%82%E0%B8%84%E0%B8%A3%E0%B8%B2%E0%B8%8A,29,พิซซ่า,None,0,0,0,1,0,1,0,0,1,[],3.6,28.0,฿฿,นครราชสีมา,0.0,Pizza Pepperoni,พิพซ่าหน้าฮาวายเอี้ยนขอบหนานุ่ม,พิซซ่าดับเบิ้ลชีส,0,64.0,54.0,39.0,0.0,0,0,0.0,0,0.0
